Режим DEBUG: 2021-06-02 21:58:42,214  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:58:42,216  dev  ERROR: User admin not found
Режим DEBUG: 2021-06-02 21:58:42,217  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:58:42,319  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:58:42,321  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:58:42,324  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:58:42,772  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:58:42,778  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 22:03:06,954  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 22:03:06,974  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 22:03:07,023  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 22:03:07,125  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 22:03:07,153  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 22:03:07,154  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 22:03:07,157  dev  ERROR: User testuser not found
Режим DEBUG: 2021-06-02 22:03:07,158  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 22:03:07,267  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 22:03:07,269  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 22:03:07,271  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 22:03:07,730  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 22:03:07,737  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 22:06:26,410  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 22:06:26,430  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 22:06:26,482  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 22:06:26,578  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 22:06:26,607  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 22:06:26,609  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 22:06:26,612  dev  ERROR: User admin not found
Режим DEBUG: 2021-06-02 22:06:26,613  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 22:06:26,631  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 22:06:26,633  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 22:06:26,635  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 22:06:27,076  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 22:06:27,081  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 22:11:17,383  dev  INFO: Get self offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 22:11:18,525  dev  INFO: Get favorite offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 22:11:20,098  dev  INFO: Get offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 22:11:30,727  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 22:12:19,092  dev  INFO: Get details of offer Nissan Skyline 2000
Режим DEBUG: 2021-06-02 22:16:24,820  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 22:16:24,842  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 22:16:24,881  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 22:16:24,954  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 22:16:25,015  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 22:16:25,018  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 22:16:25,021  dev  ERROR: User admin not found
Режим DEBUG: 2021-06-02 22:16:25,021  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 22:16:25,037  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 22:16:25,038  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 22:16:25,040  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 22:16:25,493  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 22:16:25,499  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 22:17:02,572  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 22:17:02,594  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 22:17:02,638  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 22:17:02,745  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 22:17:02,778  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 22:17:02,780  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 22:17:02,791  dev  ERROR: User admin not found
Режим DEBUG: 2021-06-02 22:17:02,792  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 22:17:02,819  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 22:17:02,821  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 22:17:02,824  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 22:17:03,368  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 22:17:03,373  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 22:21:02,262  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 22:21:02,283  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 22:21:02,324  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 22:21:02,393  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 22:21:02,422  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 22:21:02,423  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 22:21:02,426  dev  ERROR: User admin not found
